english ,hindi
"The larger cave-temple at Tirup-parankunram takes in five out of the six deities , excluding Surya , for the two principal lateral shrines are dedicated to Siva and Vishnu , while a third , for Durga , has been cut out of the rear wall at its centre with the two recesses on either side having sculptures of Ganesa and Subrahmanya .","तिरूप्परांकुयम स्थित बड़े गुफा मंदिर में छह में से , सूर्य को छोड़कर पाँच देवता हैं , क़्योंकि दो प्रमुख पार्श्ववर्ती मंदिर कक्ष शिव और विष्णु को समर्पित हैं , जबकि तीसरा दुर्गा को , जो पिछली दीवार के मध्य में काटा गया है , जिसके दोनों और के अंतरालों में गणेश और सुब्रह्मण्य की मूर्तियां है ."
Haj - this is a religious travel done at the end of 12th calender month of the year by going to mekka,तीर्थ यात्रा (हज)- हज उस धार्मिक तीर्थ यात्रा का नाम है जो इस्लामी कैलेण्डर के १२वें महीने में मक्का में जाकर की जाती है।
the order of left to right is using to keep close broken words.,दायें-से-बायें क्रम का उपयोग तुकान्त शब्दों को पास-पास लाने के लिया किया जाता है।
the wired mesh surrounding coffins.,कब्रों को घेरे हुए जाली की दीवार
The prime mover behind the Bhopal Declaration is Dalit writer Chandrabhan Prasad .,भोपाल घोषणापत्र के पीछे मुय प्रेरणा दलित लेखक चंद्रभान प्रसाद हैं .
getting a new political leader elected -,एक नए राजनेता का चुनाव करते हैं -
and five Gobots. And this was his treasure.,और पांच गोबोट. और यही उसका खजाना था.
Congress party formed a coalition government named United Progressive Alliance (UPA) which consisted of the Indian Communist party (Marxist) and many other state level parties.,काँग्रेस ने गठजोड़ द्वारा भारतीय कम्युनिस्ट पार्टी (मार्क्सवादी) और बहुत सी राज्य स्तरीय पार्टियों को साथ लेकर यूनाईटेड प्रोग्रेसिव अलायन्स (यूपीए) नामक सरकार बनाई।
By mistake his killed a businessman named Ernest Day.,उसने गलती से अर्नेस्ट डे नामक एक व्यापारी को मार डाला।
Luck,भाग्य
because you can then go to those lanes,क्योंकि ये आपको उन गलियों मे ले जाएगी
India is a member of the United nations and also of the SAARC countries.,भारत गुटनिरपेक्ष आन्दोलन तथा संयुक्त राष्ट्र संघ के संस्थापक सदस्य देशों में से एक है।
There went that theory down the trashcan of history.,यह ख्याल सीधे एतिहास के कचरे के डब्बे में गया |
"While constructing, one should try and incorporate modern features so that the effect of extreme heat and cold can be optimized.",भवन के अन्तर्गत बहुत सी अभिनव विशिष्टताओं को समाहित कर जाड़े व गर्मी दोनों ऋतुओं में जलवायु के प्रभाव को कम किया जा सकता है।
Why are there different answers ?,इस प्रश्न के उत्तर अलग-अलग क्यों हैं ?
56. Beauty of Thar Desert is well-define by “”Sam sand Dunes“”(pronounced 'Sum Sand Dunes') Located 42 Kilometers from “”Jaisalmer“”.,56. थार डेजर्ट का सौन्दर्य जैसलमेर से 42 किमी दूर स्थित सम रेतीले टीलों द्वारा अच्छी तरह बताया गया है।
only one out of 100 senators was willing to vote,तो 100 सीनेटर में से सिर्फ़ एक व्यक्ति वोट करने को तैयार था
Gradually the other communities also became interested in cricket and in 1907 a third team entered the arenathe Hindus .,1907 में एक तीसरी टीम ? हिन्दू ? मैदान में उतरी इस प्रकार यह टूर्नामेंट ट्रायंगुलर ( त्रिकोणीय ) हो गया .
"In the Broad Breasted Bronze breed , eggs weighing over 80 grams are selected for hatching .",ब्रोड ब्रैस्टेड ब्रौंज नस्ल के 80 ग्राम से अधिक वजन के अंडों को ही सेने के लिए चुना जाता है .
they are 1500 years old and it can be tested scientifically.,यह १५०० वर्ष ‎पुरानी हैं इसकी भी जांच वैज्ञानिक रूप से काराई जा सकती है।
"In fact, they make their livings on this kind of stuff.",बल्कि वे इन तरह की चीज़ों से अपनी जीविका चलाते हैं.
"Before he died , P.N . Haksar acknowledged his mistake in advising Indira Gandhi to accept Bhutto 's private assurances , especially on Kashmir , and not insist on incorporating these in writing .","हक्सर ने इंदिरा गांधी को भुट्टों के निजी आश्वासनों को , खासकर कश्मीर मामले में , मानने की सलह देने और उसे लिखित रूप में न मांगने की गलती कबूल की ."
can be leveraged to our interactions with the digital world.,डिजिट्ल दुनिया के साथ सम्पर्क करने के लिये।
"Result - Female's convinience, female's problems and enjoyment of females",मूल्यांकन · महिला (Receiver) को सहूलियत ☻☻☻☻ · महिला (Receiver) को परेशानी ☻ · महिला (Receiver) को आनंद ☻☻☻☻
"But a large chink had been made in the wall and from now on , the man who availed himself of modern ideas and modern education could no longer be looked down upon as irreligious .",परंतु एक नया रास्ता अवश्य खुल गया और अब आधुनिक विचारों और आधुनिक शिक्षा का लाभ उठाने वाले किसी भी व्यक़्ति को अधर्मी नहीं माना जा सकता था .
The site has now been declared to be of national importance under the Ancient Monuments and Archaeological Sites and Remains Act 1958 and is under the jurisdiction of the Archaeological Survey of India -LRB- ASI -RRB- .,उस जगह को अब भारतीय पुरातत्व सर्वेक्षण ( एएसाऐ ) की निगरानी में प्राचीन स्मारक और पुरातात्विक स्थल एवं अवशेष कानून 1958 के तहत राष्ट्रीय महत्व का घोषित कर दिया गया है .
"The Indian organic chemicals industry , which had a narrow base , confined to the availability of alcohol in the sugar-producing areas of UP and Bihar and of coke-oven byproducts in Jamshedpur and Burnpur , has found a new , stronger foundation to build on .","भारतीय कार्बनिक रासायनिक तत्व ने , जिसका आधार संकुचित था , अपने को उत्तरप्रदेश और बिहार के चीनी उत्पादक क्षेत्रों में अल्कोहल की उपलब्धि तक सीमित रखा जमशेदपुर और बर्नपुर में कोक चूल्हे जैसे सहउत्पादों ने अपने लिए सुदृढ़ आधारशिला बनायी ."
Another attempt that was made is described as follows in the Memoirs : ” I made yet another attempt to bring help overseas from Indonesia .,"ऋऋ दूसरी बार जो कोशिश की गऋ , उसका विवरण संसऋ-ऊण्श्छ्ष्-मरणों में इस प्रकार है , ऋऋमैनें एक और कोशिशि की कि इंडोनेशिया से विदेशी सहायता लेने की ."
Yet there were doubts .,फिर भी शंकाएं रह गईं .
The Delhi Sultanate was ruled by several Muslim dynasties one after another for about 300 years though its extent varied from almost the whole of India under Alauddin Khilji to a very small area surrounding the city of Delhi under the Syeds .,"दिल्ली सल्तनत पर लगभग 300 वर्षो तक , एक के बाद दूसरे , अनेक मुसलमान वंश के राजाओं ने राज़्य किया.उन राजाओं के राज्य का विस्तार भिन्न भिन्न था.जहां अलाउद्दीन खिलजी के Zअधीन करीब करीब संपूर्ण भारत था , तो सैय्दों के अधीन दिल्ली के आसपास का बहुत छोटा क्षेत्र था ."
What are you doing with this? Is there a company being planned?,तुम इसके साथ क्या करोगे? क्या किसी कंपनी की योजना है?
have said,कहा होता
"Part from this the fundamentals of Parsi, Jain and Isai religions were also present in this religion.",इनके अलावा पारसी जैन एवं ईसाई धर्म के मूल विचारों को भी सम्मिलित किया।
these removed the precious stones and gems by dugging them out of the walls,इन्होंने बहुमूल्य पत्थर एवं रत्न तथा लैपिज़ लजू़ली को खोद कर दीवारों से निकाल लिया था।
Young people do n't always take drugs because they have deep personal problems or to show how they reject your way of life .,"युवा लोग हमेशा इसलिए ड्रग्स नहीं लेते , क्योंकि उनकी अपनी कोई गहरी निजी परेशानियाँ होती हैं या वे आपकी जीवन-पध्दति को अस्वीकार करके गिखाना चाहते हैं ."
The entire hall filled with smoke.,पूरा हॉल धुएँ से भर गया ।
"A couple of years ago,","दो वर्ष पहले,"
"That bottom thing, which says there's no effect at all,","सबसे नीचे, जो दिखाता है कि वहाँ कोई प्रभाव नहीं है,"
"Even after Partition , he refused to accept compensation for the property and longed to return to it .",बंटवारे के बाद भी उन्होंने इसके एवज में मुआवजा लेने से इनकार कर दिया और यहां लेटने की उमीद पाले रहे .
Mistakenly believe beyond religion Books,धर्म की पुस्तकों को गलती से परे मानना
"Born in Allahabad, Uttar Pradesh, Amitabh Bachchan belong to Hindu Kayastha family.",इलाहाबाद उत्तर प्रदेश में जन्मे अमिताभ बच्चन हिंदू कायस्थ परिवार से संबंध रखते हैं।
It was made the headquarter of British Army also.,इसे ब्रिटिश सेना का मुख्यालय भी बनाया गया।
That's who we talk about when we think about “the poor.”,हम उन सबको गरीब मानते हैं।
"a spirit, a natural force, the universe.","एक भावना थी , एक प्राकृतिक बल था , ब्रहमांड था,"
"then we can probably develop robust mouse rejuvenation in only 10 years,","तो शायद हम १० साल में ही मजबूत जन कायाकल्प का विकास कर सकते हैं,"
that have to do with with motivation and feedback -,जो आप उत्साह बढाने और सलाह देने के लिये इस्तेमाल कर सकते है -
” I chose painting to forget the pain .,मैंने दर्द भुलने के लिए चित्रकल चुनी .
while the other half of the world is fighting back,वहीं बाकी विश्व ने इस मुद्दे पर
Then everything becomes meaningful.,तब सब कुछ सार्थक हो जाता है.
But Vitthal Bai Patel died.,मगर विठ्ठल भाई पटेल का निधन हो गया।
The opening of the Calcutta-Raniganj railway line in 1854 was timely .,सन् 1854 में कलकत्ता-रानीगंज रेलवे लाइन का खुलना समयानुकूल था .
but also make your mind work.,पर साथ ही दिमाग से सोच कर काम हो।
"Obviously the further apart the two linked genes are in the chromosome , the more likely would they be to crossover .",गुणसूत्र में सहलग़्न जीन जितनी अधिक दूरी पर होंगे उनकी प्रवृत्ति उतनी ही अधिक अन्योन्य गमन करने की होगी .
Is India 's most popular politician distancing himself from popular sentiment ?,क्या भारत का अति लकप्रिय नेता खुद को जन भावनाओं से दूर कर रहा है ?
swami vivekanand(12th january1763-4 july1902)he was the great guru of knowledge,स्वामी विवेकानन्द (१२ जनवरी १८६३- ४ जुलाई १९०२) वेदान्त के विख्यात और प्रभावशाली आध्यात्मिक गुरु थे।
"At the time of the Indian mutiny , and when the fortunes of all Indians in general and of Muslims in particular were most wretched , Badruddin Tyabji had just reached the age of fourteen years .",भारत में बिद्रोह के समय जब आमतौर पर सभी भारतीयों की और विशेषकर मुसलमानों की किस्मत का सितारा डूबा हुआ था.बदरूद्दीन तैयबजी का आयु केवल चौदह वर्ष थी .
"from Lagos two days ago, in which",लागोस से दो दिन पहलेवाली उड़ान में
The ASI 's decision to keep Mehtab Bagh off limits for tourists -LRB- and plastic bottles -RRB- is laudable .,मेहताब बाग को पर्यटकों और प्लस्टिक की बोतलं से भी से दूर रखने का एएसाऐ का फैसल प्रशंसनीय है .
ST 31 (1) according to the state legislature gives the authority to make laws adopted they take private property for public interest but no such law shall not be canceled if it does but it is a violation of ST 14 and ST 19 will be eligible for judicial review But if the President of the Law,1. अनु 31[1] के अनुसार राज्य विधायिका को अधिकार देता है कि वे निजी संपत्ति जनहित हेतु विधि बना कर ग्रहित कर ले परंतु ऐसी कोई विधि असंवैधानिक/रद्द नहीं की जायेगी यदि यह अनु 14 व अनु 19 का उल्लघंन करे परंतु यह न्यायिक पुनरीक्षण का पात्र होगा किंतु यदि इस विधि को राष्ट्रपति की स्वीकृति हेतु रखा गया और उस से स्वीकृति मिली भी हो तो वह न्यायिक पुनरीक्षा का पात्र नहीं होगा
"Each year in England around 4,000 people die and more than 2.5 million require medical attention following home accidents .",इंगलैंड में प्रतिवर्ष घरों में होने वाली दुर्घटनाओं के कारण लगभग 4000 लोग मारे जाते हैं एवं 25 लाख से भी अधिक को मरहपट्टी व इलाज करना
"Even Bhajan Lal , Congress honcho and self-proclaimed “ PhD in politics ” , was taken aback when Chautala upbraided the Opposition for its poor knowledge of legislative rules .",यहां तक कि चऋटाल ने जब विपक्ष को विधायी नियमों का अल्प&आन होने पर डऋआंट पिलऋ तो कांग्रेस नेता और राजनीति के स्वघोषित उस्ताद भजनलल भी ठगे से रह गये .
Wild life.,जीव-जन्तु
It was also a comment on the Soviet economy : all bluster but incapable of mass producing as low technology a commodity as cigarettes .,"और सोवियत अर्थव्यवस्था पर टिप्पणी जैसा भी था , जो ऊंचे-ऊंचे दावों के बावजूद सिगरेट जैसी चीज बड़ै पैमाने पर बनाने की मामूली तकनीक भी विकसित नहीं कर पाई थी ."
Have you or your partner :,क्या आप और आप का जीवनसाथी :
It can take speedy and firm decisions,1 तीव्र तथा कठोर निर्णय ले सकती है
But I think our generation also might be the first,मगर मैं समझता हूँ कि हमारी पीढी ने ही शायद पहली बार
The appeal was heard by Justice Ford and Justice Addison .,अपील की सुनवाई न्यायाधीश फोर्ड और न्यायाधीश एडीसन ने की .
"I have heard that Buddhodana -LRB- sic -RRB- , in speaking to his adherents the Shamanians , calls them buddha , dharma , sangha , as it were intelligence , religion , and ignorance -LRB- sic -RRB- .","मैंने सुना है कि बुद्धोदन10 ( एवमेव ) ने अनुयायी श्रवणों को संबोधित करते समय इन्हें बुद्ध,धर्म और संघ कहा था मानो वे ? बुद्धि ? , ? धर्म ? और ? अज्ञान ? हों ( एवमेव ) ."
"If you need to talk to the police about the crime , you should contact the officer dealing with your case or , where there is one , the crime desk .","अगर आपको किसी अपराध के बारे में पुलिस से बात करनी है तो आपको अपने मामले से जुड़े अऑफ़िसर से संपर्क करना चाहिए या अगर कोई क्राइम डैस्क है , तो उससे |भाष्;"
and civil society leaders,और सामजिक नेताओं में लगायें
and you know the reason -,आप जानते थे इस का कारन
The culture of Nepal has a lot of common with cultures of Tibet and India.,नेपाल की संस्कृति तिब्बत एवं भारत से मिलती जुलती है।
But those are all the roads in the U.S.,लेकिन ये यूएस की सभी सड़कें हैं
"In honor of Akbar, his son Jahangir has built a mosque in Lahore.",उसके पुत्र जहांगीर द्वारा उसके सम्मान में लाहौर में एक मस्जिद बनवायी गई थी।
India was passing through such a period before the national movement heralded a new age .,"भारत वर्ष , राष्ट्रीय आंदोलन से एक नये युग के प्रारंभ के पूर्व , ऐसे ही समय में से गुजर रहा था ."
In 1928 The annual meeting of Congress was held under the presidency of Motilal Nehru in Kolkata.,1928 में कांग्रेस का वार्षिक अधिवेशन पंडित मोतीलाल नेहरू की अध्यक्षता में कोलकाता में हुआ।
Everyone is individual and will have their own particular reasons for using drugs .,हर आदमी का अपना व्यक्तित्व होता है और ड्रग्स का इस्तेमाल करने के उसके ख़ास कारण भी होते हैं .
"Most local governments and housing associations provide shelters which give you the chance to live in self-dependent shelter , where a warden is available at all times to help you .",बहुत सी स्थानीय सत्ताएं और हाउज़िंग असोसिएशनज़ आश्रय आवास प्रदान करती है जो रहने के लिये आत्मनिर्भर आवास में रहने का मौका प्रदान करती हैं जहां सहायता करने के लिये वार्डन हमेशा होता है .
coming down 25 percent,२५% नीचे आ रहे हैं
"Recent research shows that animal-based , natural insulin is more effective than the synthetic one marketed as human insulin though this has cornered 46 per cent of the Indian market even with an expensive tag of Rs 200 a vial .",हाल के अनुसंधान से पता चल है कि जंतुओं का प्राकृतिक इंसुलिन बाजार में मानव इंसुलिन के नाम से बिकने वाले संश्लेषित इंसुलिन के मुकाबले ज्यादा प्रभावी है.हालंकि प्रति शीशी 200 रु.की दर से बिकने वाले इस इंसुलिन ने 46 प्रतिशत भारतीय बाजार पर कजा कर रखा है .
"A series of beautiful child-poems were the result , which were later published in 1922 as Sisu Bholanath , lyrical interpretation of the child-mind , ' reminiscent of the poems he had written nearly two decades earlier which had been later published in English as The Crescent Moon .","परिणामस्वरूप बच्चों की कविताओं की एक सुंदररचनावली जिसमें बच्चे के दिमाग की गीतात्मक व्याख्या लिखी गई , जो कि 1922 में ? शिशु भोलानाथ ? में प्रकाशित हुई.इसे पढ़ते हुए दो दशक पहले प्रकाशित हुई ? क्रिसेंट मून ? की याद आना स्वाभाविक है ."
Check your child is really following what they 're reading by asking them to tell you the story in their own words - who 's it about ?,यह किसके विषय में है ? आगे क्या होता है ? - जैसे प्रश्न पूछकर कहानी को अपने शब्दों में बताने को कहकर आप इस की पुष्टि करें कि वे जो पढ़ रहें हैं वे वास्तव में उसे समझ पा रहे हैं या नहीं .
This is a call for every true Mexican,सभी सच्चे मेक्सिको वासियों से यह गुहार है कि
He warned that a Taliban insurgency could engulf Pakistan unless the government takes a stronger stance.,माधुर्य भाव के ् अंतर्गत गोपी-लीला मुख्य है।
"All of them are located roundabout the Pallava capital of Kanchi and the port town of Mahabalipuram -LRB- Mamallapuram -RRB- in the Chingleput , North Arcot , and South Arcot districtscomprising the Pallava home province of Tondaimandalam -LRB- the region situated to the north , west and south of modern Madras -RRB- .","ये सबके सब पल्लव राजधानी कांची और महाबलीपुरम ( मामल्लपुरम ) के पत्तन नगर के आसपास स्थित हैं , जो पल्लवों के गृह प्रदेश्या तोंडैमंडलम ( आधुनिक मद्रास के उत्तर , पश्चिम और दक्षिण में स्थित क्षेत्र ) में चिंगल पेट , उत्तरी अरकॉट और दक्षिणी अरकॉट जिलों में हैं ."
"They looked forward in the realms of thought , as well as towards the countries of the earth , for fresh advances and conquests .","वे नयी नयी कल्पनाओं और दुनिया के नये नये क्षेत्रों की खोज करते रहते थे , जिससे और आगे तरक़्की और विजय हासिल की जा सके ."
Tagore is essentially a modern,Mahatma Gandhi is the St . Francis of Assissi of our own days . ”
"Thus , for instance , the assembly had its Speaker called Vinayadhara and Whip called Ganapuraka and was familiar with procedural devices and terms like resolutions , lack of quorum , vote by majority , and so on .","उदाहरण के तौर पर , सभा का अपना अध्यक्ष हुआ करता था जिसे ? विनयधार ? कहा जाता था और सचेतक भी हुआ करता था जिसे ? गणपूरक ? कहा जाता था . ? विनयधार ? संकल्प , गणपूर्ति का अभाव , बहुमत द्वारा मतदान , इत्यादि जैसे प्रक्रियागत उपायों एवं शब्दावली से परिचित होता था ."
Camera's ready - that's it.,कैमरा तैयार है - बस हो गया।
"Sheep thrive on natural grasses , herbs and farm wastes .","भेड़ प्राकृतिक घास , जड़ी-बूटियों तथा फार्मों के अवशिष्ट पदार्थों पर फलती फूलती है ."
"Conditions improved after 1934 , but the Tariff Board found a need for basic modifications in the plant to keep it abreast of the technological changes .","सन् 1934 के बाद स्थितियों में सुधार आया , लेकिन तकनीकी परिवर्तनों की समता कायम रखने के लिए टैरिफ बोर्ड को संयंत्र में मूलभूत परिवर्तन की आवश्यकता महसूस हुई ."
"This demand was firmly reiterated by the All India National Convention of Congress Legislators held in Delhi in March , 1937 .","इस मांग को मार्च , 1937 में दिल्ली में हुए कांग्रेसी विधायकों के अखिल भारतीय राष्ट्रीय सम्मेलन में दृढ़ता के साथ दोहराया गया ."
"The pillars inside the mandapa are exquisitely lathe-turned or intricately carved , and a few of them carry fine , bold , figure sculptures .",मंडप के भीतर के स्तंभ उत्कृष्ट रूप से खराद पर तराशे गए हैं या जटिल रूप से उत्कीर्णित हैं और उनमें से कुछ पर बढ़िया स्पष्ट आकृति शिल्प बने हैं .
The strategic objective that Netaji set before himself during World War II was based on a scientific examination of the strong and weak points of the British position in India and that of the Indian national movement also .,"यह सामरिक लक्ष्य जो कि द्वितीय विश्वयुद्ध के दौरान सुभाष ने अपने लिए निर्धारित किया था , ब्रिटिश भारत में उसकी विशेषताओं एवं त्रुटियों तथा भारतीय राष्ट्रीय आंदोलन की विशेषताओं एवं त्रुटियों के वैज्ञानिक विश्लेषण पर आधारित था ."
Amitabh Bacchan (Aanand)(1970),अमिताभ बच्चन आनंद (Anand) ( १९७० )
"And the rabbi said, “You've misunderstood me.","और रब्बी ने कहा, “तुम लोगों ने मुझे गलत समझा है.”"
To welcome Shri Ram citizens of Ayodhya lightened lamps of liquid butter.,श्री राम के स्वागत में अयोध्यावासियों ने घी के दीए जलाए ।
Was he then deliberately underplaying Agra ?,क्या वे आगरा को जानबूज्ह्कर कम तूल दे रहे थे ?
i District Level For & These fora are established by the respective state governments with the approval of the central government in each district of the state,
"When the Congress spoke of independence it made it clear that the independence of all the people in India , including those in the princely states , was the ultimate goal .",स्वतंत्रता की बात करते हुए कांग्रेस ने स्पष्ट कर दिया था कि उसका अंतिम लक्ष्य भारत के सभी लोगों की स्वतंत्रता है और उसमें रियासतों की जनता भी शामिल है .
Category : South Jamboodweep,श्रेणी:दक्षिण जंबुद्वीप
The discussions widened Roy 's knowledge and he acquired a firmer grip on communist theory and practice .,इन विमर्शो से राय का ज्ञान और बढ़ा और साम्यवादी सिद्वांत व प्रयोग उनके लिए और भी बोधगम्य हो गए .
"The necessary funds are mobilised from the country 's resources by way of taxes , loans , etc . to meet governmental expenditures .","सरकार व्यय की पूर्ति के लिए करों , ऋणों आदि के द्वारा देश के संसाधनों में से आवश्यक धन जुटाया जाता है ."
"lots of telemedicine consultations,","कई बार दूर-संचार के माध्यम से भी इलाज करते हैं,"
"And of course , peace can be a harmless mindset .","अलबत्ता , शांति के बारे में सोचते रहने में क्या हर्ज है ?"
"He was deeply impressed , not only with the warm affection with which the common citizens welcomed him but with their genuine interest in philosophical and metaphysical problems .",रवीन्द्रनाथ न केवल आम नागरिकों के सौहार्दपूर्ण स्वागत और सम्मान से बल्कि उनके दार्शनिक तथा तात्विक प्रश्नों से भी काफी प्रभावित हुए .
"CA: So, we've got a picture, I think? Where is this?","क्र एं: तो, हमारे पास तस्वीर है मेरे ख्याल से? यह कहाँ पर है?"
Soorsaagar's main topic was the works of Sri Krishna.,सूरसागर का मुख्य वर्ण्य विषय श्री कृष्ण की लीलाओं का गान रहा है।
Zankar,झंकार
Avoiding overstatement is also very helpful,अधिक बयान से बचना भी बहुत उपयोगी है
"In other words , they may make the body 's own insulin work better .",कुल मिलाकर ये दवाइयां शरीर की इंसुलिन को और भी अच्छा कार्य करने योग़्य बनाती हैं .
Michigan,मिशिगन
Both you and the LEA will be able to ask them questions .,आप और एल ई ए दोनों ही उन से प्रश्न पूछ सकेंगे .
no matter what you thought you were getting when you bought it -,आप चाहे जो सोच कर उसे खरीद रहे थे -
"UNICEF came forward and said, “We'll buy most of the nets,","यूनिसेफ़ ने आगे बढ कर कहा, “हम ज्यादातर मच्छरदानियों को खरीद लेंगे"
When Khuran came to existence there was no scientific base for it.,जिस समय कुरान अवतारित हुआ उस युग में उसका मुख्य ‎चमत्कार उसका वैज्ञानिक आधार नहीं था।
Taj mahal is a monu ment of agraa,ताज महल ( ) (फारसी: تاج محل अँग्रेजी़: Taj Mahal) भारत के आगरा शहर में स्थित एक मक़बरा है।
"In reality, Ved Vyas had initially composed an epic known as “”Bharat“” which contained 1,00,000 verses. This epic contained detailed descriptions of moral characters of the Indian people living then, as well doctrines of the many great sages, “”Chandravanshi-Suryavanshi“” (Kings of the Sun and Moon dynasties) kings, and various other religious doctrines.",वास्तव में वेद व्यास जी ने सबसे पहले १००००० श्लोकों के परिमाण के भारत नामक ग्रंथ की रचना की थी इसमें उन्होने भारतवंशियों के चरित्रों के साथ साथ अन्य कई महान ऋषियों चन्द्रवंशी-सूर्यवंशी राजाओं के उपाख्यानों सहित कई अन्य धार्मिक उपाख्यान भी डालें।
"For some time now , quite like the 1980s when Jagjit Singh Chohan extended support to the Khalistan movement from UK , several Islamic groups have been using the territory to raise money and train terrorists for what they call jehad in Kashmir .",कुछ अरसे से अनेक इस्लमी गुट ब्रिटेन को कश्मीर के तथाकथित जेहाद की खातिर पैसा जमा करने और आतंकवादियों को प्रशिक्षण देने के लिए इस्तेमाल करते आ रहे हैं-बिल्कुल उसी तरह जैसे 1980 वाले दशक में जगजीत सिंह चौहान खालिस्तानी आंदोलन के लिए समर्थन जुटाया करता था .
There is direct sailing for Diglipur which is the headquarters of North Andaman .,उत्तरी अंडमान दिगलीपुर उत्तरी अंडमान का मुख्यालय है .
This aboriginal Hind-European language has a lot of connection.,ये आदिम-हिन्द-यूरोपीय भाषा से बहुत अधिक मेल खाती है।
and then we can calculate,और फिर हम गणना कर सकते हैं
"The two parts were to be declared free British Dominions on August 14 and 15 , 1947 , respectively .","दो भाग , स्वतंत्र ब्रिटिश उपनिवेश , 14 और 15 अगस्त , 1947 की क्रमश : घोषित किये गये ."
"And then I think, okay well maybe we can have it snow,","और मै सोचती हूँ , ओके चलो शायद बर्फ़ की तरह धीरे धीरे गिरने दो"
It doesn't need it.,इसे इसकी जरुरत नही है.
Mr. Kabir Knowledge Temple,श्री कबीर ज्ञान मंदिर
"Yet I functioned , for the urge to action was there and a real or imagined co-ordination of that action with the ideals I held .",फिर भी मैं काम में लगा रहा क़्योंकि इन दिनों मुझमें काम को करने की लगन थी और उसके लिए मेरे आदर्शों और काम के बीच असली या ख़्यालों में तालमेल भी था .
The sugar policy which does not reckon with all these factors is not likely to succeed .,"चीनी की ऐसी ढनीति के , जो इनसे तालमेल नहीं रखती है , सफल होने की समऋ-ऊण्श्छ्ष्-भावना नहीं है ."
"At last, it confluence in sea in bay of Bengal in the 350 Km. wide Sunderban delta.",अंततः ये ३५० कि.मी. चौड़े सुंदरवन डेल्टा में जाकर बंगाल की खाड़ी में सागर-संगम करती है।
Terminology,शब्दावली
Which means that each and every one of you here today,इसका मतलब है कि आज आप में से हर एक शक्श
Followers of all religions were asked Dhimee,इन सभी धर्मों के अनुयायियों को धिम्मी कहा गया।
The Quran's script made many Arab linguistic scholars go down on their knees.,कुरान की शैली के कारण अरब के ‎भाषा ज्ञानियों ने अपने घुटने टेक दिए।
"Internal room is on octagon, which has gateway on each side of it, where as only west garden side gateway is in use.",आंतरिक कक्ष एक अष्टकोण है जिसके प्रत्येक फलक में प्रवेश-द्वार है हांलाकि केवल दक्षिण बाग की ओर का प्रवेशद्वार ही प्रयोग होता है।
in this 2 army person and one civilian killed,इसमें दो सैनिक एवं एक नागरिक मृत्यु को प्राप्त हुए।
"After all in politics , winning sympathy is often a matter of life-or death .",आखिरकार राजनीति में हमदर्दी जीतना जिंदगी-या मौत-का सवाल होता है .
People from distant places left their homes to be near him .,दूर-दूर के लोग अपने घरों को छोडकर उनके पास रहने के लिए आते थे .
A meeting of the plenum of the ECCI was held in Moscow in February 1928 to discuss the Chinese problem .,चीन की समस्या पर विचार-विमर्श करने के लिए फरवरी 1928 को साम्यवाद अंतर्राष्ट्र की कार्यकारिणी परिषद की पुरी बैठक बुलाई गई .
"and she said, “But, Aimee, that's not fair.”","और बोली,“पर, एमी, यह तो सही नहीं है.”"
The two-hour drama opens February and also has actor Sameer Soni and Grasim Mr India Vivan Bhatena .,दो घंटे का नाटक फरवरी में शुरू होगा ऋसमें अभिनेता समीर सोनी और ग्रासिम मि.इंडऋयिआ विवान भटेना भी होंगे .
"I would like to end up by showing the Internet users per 1,000.",मैं प्रति 1000 इंटरनेट उपयोगकर्ता को दिखाकर समाप्त करना चाहूँगा।
"Someday, little robots will go","एक दिन, छोटे रोबोट्स हमारी धमनियों"
that if nectar,अगर पराग
Fruit,फल
You should have the opportunity to see a consultant obstetrician -LRB- a doctor who specialises in pregnancy and childbirth -RRB- at least once during your pregnancy .,आप को कन्सल्टेन्ट ओब्सटेट्रीशियन ( ऐसा डाक्टर जो गर्भवस्था और शिशु जन्म में विशेषग्य होता है ) से आप के गर्भ काल के दौरान कम से कम एकबार मिलने का अवसर मिलना चाहिये .
